uframe_route,parser,filename_mask,reference_designator,data_source,status,notes
#Ingest.adcpt-acfgm-dcl-pd0_recovered,mi.dataset.driver.adcpt_acfgm.dcl.pd0.adcpt_acfgm_dcl_pd0_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl26/adcpt1/*.adcpt*.log,CE07SHSM-RID26-01-ADCPTA000,recovered_host,Missing,
#Ingest.adcps-jln_recovered,mi.dataset.driver.adcps_jln.adcps_jln_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl26/ADCPT_*/*adcpt*.000,CE07SHSM-RID26-01-ADCPTA000,recovered_inst,Missing,
# #Ingest.velpt-ab-dcl_recovered,,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl26/velpt2/*.velpt*.log,CE07SHSM-RID26-04-VELPTA000,recovered_host,Missing,
#Ingest.velpt-ab_recovered,mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl26/VELPT_*/*velpt*.aqd,CE07SHSM-RID26-04-VELPTA000,recovered_inst,Missing,
#Ingest.phsen-abcdef-dcl_recovered,mi.dataset.driver.phsen_abcdef.dcl.phsen_abcdef_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl26/phsen*/*.phsen*.log,CE07SHSM-RID26-06-PHSEND000,recovered_host,Missing,
#Ingest.phsen-abcdef_recovered,mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl26/PHSEN_*/*phsen*.txt,CE07SHSM-RID26-06-PHSEND000,recovered_inst,Missing,
#Ingest.nutnr-b-dcl-full_recovered,mi.dataset.driver.nutnr_b.dcl_full.nutnr_b_dcl_full_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl26/nutnr/*.nutnr.log,CE07SHSM-RID26-07-NUTNRB000,recovered_host,Missing,
#Ingest.nutnr-b_recovered,mi.dataset.driver.nutnr_b.nutnr_b_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl26/NUTNR_*/*nutnr*/*SCH*.DAT,CE07SHSM-RID26-07-NUTNRB000,recovered_inst,Missing,
#Ingest.spkir-abj-dcl_recovered,mi.dataset.driver.spkir_abj.dcl.spkir_abj_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl26/spkir/*.spkir.log,CE07SHSM-RID26-08-SPKIRB000,recovered_host,Missing,
#Ingest.cg-dcl-eng-dcl_recovered,mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl27/syslog/*.syslog.log,CE07SHSM-RID27-00-DCLENG000,recovered_host,Missing,
