uframe_route,filename_mask,reference_designator,data_source
Ingest.flort-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL327/R00001/merged/ce_327_*.mrg CE05MOAS-GL327-02-FLORTM000,recovered
Ingest.dosta-abcdjm-glider_recovered /omc_data/whoi/OMC/CE05MOAS-GL327/R00001/merged/ce_327_*.mrg CE05MOAS-GL327-04-DOSTAM000,recovered
Ingest.ctdgv-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL327/R00001/merged/ce_327_*.mrg CE05MOAS-GL327-05-CTDGVM000,recovered
Ingest.glider-eng-glider_recovered   /omc_data/whoi/OMC/CE05MOAS-GL381/R00001/merged/ce_381_*.mrg CE05MOAS-GL381-00-ENG000000,recovered
Ingest.parad-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL381/R00001/merged/ce_381_*.mrg CE05MOAS-GL381-01-PARADM000,recovered
Ingest.flort-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL381/R00001/merged/ce_381_*.mrg CE05MOAS-GL381-02-FLORTM000,recovered
Ingest.dosta-abcdjm-glider_recovered /omc_data/whoi/OMC/CE05MOAS-GL381/R00001/merged/ce_381_*.mrg CE05MOAS-GL381-04-DOSTAM000,recovered
Ingest.ctdgv-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL381/R00001/merged/ce_381_*.mrg CE05MOAS-GL381-05-CTDGVM000,recovered
Ingest.glider-eng-glider_recovered   /omc_data/whoi/OMC/CE05MOAS-GL382/R00001/merged/ce_382_*.mrg CE05MOAS-GL382-00-ENG000000,recovered
Ingest.parad-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL382/R00001/merged/ce_382_*.mrg CE05MOAS-GL382-01-PARADM000,recovered
Ingest.flort-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL382/R00001/merged/ce_382_*.mrg CE05MOAS-GL382-02-FLORTM000,recovered
Ingest.dosta-abcdjm-glider_recovered /omc_data/whoi/OMC/CE05MOAS-GL382/R00001/merged/ce_382_*.mrg CE05MOAS-GL382-04-DOSTAM000,recovered
Ingest.ctdgv-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL382/R00001/merged/ce_382_*.mrg CE05MOAS-GL382-05-CTDGVM000,recovered
Ingest.glider-eng-glider_recovered   /omc_data/whoi/OMC/CE05MOAS-GL383/R00001/merged/ce_383_*.mrg CE05MOAS-GL383-00-ENG000000,recovered
Ingest.parad-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL383/R00001/merged/ce_383_*.mrg CE05MOAS-GL383-01-PARADM000,recovered
Ingest.flort-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL383/R00001/merged/ce_383_*.mrg CE05MOAS-GL383-02-FLORTM000,recovered
Ingest.dosta-abcdjm-glider_recovered /omc_data/whoi/OMC/CE05MOAS-GL383/R00001/merged/ce_383_*.mrg CE05MOAS-GL383-04-DOSTAM000,recovered
Ingest.ctdgv-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL383/R00001/merged/ce_383_*.mrg CE05MOAS-GL383-05-CTDGVM000,recovered
Ingest.glider-eng-glider_recovered   /omc_data/whoi/OMC/CE05MOAS-GL384/R00001/merged/ce_384_*.mrg CE05MOAS-GL384-00-ENG000000,recovered
Ingest.parad-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL384/R00001/merged/ce_384_*.mrg CE05MOAS-GL384-01-PARADM000,recovered
Ingest.flort-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL384/R00001/merged/ce_384_*.mrg CE05MOAS-GL384-02-FLORTM000,recovered
Ingest.dosta-abcdjm-glider_recovered /omc_data/whoi/OMC/CE05MOAS-GL384/R00001/merged/ce_384_*.mrg CE05MOAS-GL384-04-DOSTAM000,recovered
Ingest.ctdgv-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL384/R00001/merged/ce_384_*.mrg CE05MOAS-GL384-05-CTDGVM000,recovered
Ingest.glider-eng-glider_recovered   /omc_data/whoi/OMC/CE05MOAS-GL386/R00001/merged/ce_386_*.mrg CE05MOAS-GL386-00-ENG000000,recovered
Ingest.parad-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL386/R00001/merged/ce_386_*.mrg CE05MOAS-GL386-01-PARADM000,recovered
Ingest.flort-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL386/R00001/merged/ce_386_*.mrg CE05MOAS-GL386-02-FLORTM000,recovered
Ingest.dosta-abcdjm-glider_recovered /omc_data/whoi/OMC/CE05MOAS-GL386/R00001/merged/ce_386_*.mrg CE05MOAS-GL386-04-DOSTAM000,recovered
Ingest.ctdgv-m-glider_recovered      /omc_data/whoi/OMC/CE05MOAS-GL386/R00001/merged/ce_386_*.mrg CE05MOAS-GL386-05-CTDGVM000,recovered
