uframe_route,parser,filename_mask,reference_designator,data_source,status,notes
Ingest.glider-eng-glider_telemetered,mi.dataset.driver.moas.gl.engineering.glider_eng_glider_telemetered_driver,/omc_data/whoi/OMC/GA05MOAS-GL494/D00001/merged-from-glider/ga_494*.mrg,GA05MOAS-GL494-00-ENG000000,telemetered,Available,
Ingest.flord-m-glider_telemetered,mi.dataset.driver.moas.gl.flord_m.flord_m_glider_telemetered_driver,/omc_data/whoi/OMC/GA05MOAS-GL494/D00001/merged-from-glider/ga_494*.mrg,GA05MOAS-GL494-01-FLORDM000,telemetered,Available,
Ingest.dosta-abcdjm-glider_telemetered,mi.dataset.driver.moas.gl.dosta.dosta_abcdjm_glider_telemetered_driver,/omc_data/whoi/OMC/GA05MOAS-GL494/D00001/merged-from-glider/ga_494*.mrg,GA05MOAS-GL494-02-DOSTAM000,telemetered,Available,
Ingest.ctdgv-m-glider_telemetered,mi.dataset.driver.moas.gl.ctdgv.ctdgv_m_glider_telemetered_driver,/omc_data/whoi/OMC/GA05MOAS-GL494/D00001/merged-from-glider/ga_494*.mrg,GA05MOAS-GL494-04-CTDGVM000,telemetered,Available,
