uframe_route,filename_mask,reference_designator,data_source,status,notes
#Ingest.pco2w-abc-imodem_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/imm/pco2w2/pco2w*.DAT,GI01SUMO-RII11-02-PCO2WC052,telemetered,Not Deployed,Not deployed in this instance
#Ingest.pco2w-abc-imodem_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/imm/pco2w3/pco2w*.DAT,GI01SUMO-RII11-02-PCO2WC053,telemetered,Not Deployed,Not deployed in this instance
Ingest.phsen-abcdef-imodem_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/imm/phsen1/phsen*.DAT,GI01SUMO-RII11-02-PHSENE041,telemetered,Available,Inductive modem ID 23
Ingest.phsen-abcdef-imodem_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/imm/phsen2/phsen*.DAT,GI01SUMO-RII11-02-PHSENE042,telemetered,Available,Inductive modem ID 24
Ingest.cg-cpm-eng-cpm_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/irid2shore/cpm_status*.txt,GI01SUMO-SBC11-00-CPMENG000,telemetered,Available,
Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/syslog*/*syslog*.log,GI01SUMO-SBD11-00-DCLENG000,telemetered,Available,
#Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/mopak/*.mopak.log,GI01SUMO-SBD11-01-MOPAK0000,telemetered,Available,GA01SUMO_D00003_ingest.csv
Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/hyd*/*hyd*.log,GI01SUMO-SBD11-03-HYDGN0000,telemetered,Available,
Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/dosta*/*dosta*.log,GI01SUMO-SBD11-04-DOSTAD000,telemetered,Available,
Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/spkir*/*.spkir*.log,GI01SUMO-SBD11-05-SPKIRB000,telemetered,Available,
Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/metbk*/*metbk*.log,GI01SUMO-SBD11-06-METBKA000,telemetered,Available,
Ingest.nutnr-b-dcl-conc_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/nutnr*/*.nutnr*.log,GI01SUMO-SBD11-08-NUTNRB000,telemetered,Available,
Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl12/syslog*/*syslog*.log,GI01SUMO-SBD12-00-DCLENG000,telemetered,Available,
Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl12/optaa*/*.optaa*.log,GI01SUMO-SBD12-01-OPTAAD000,telemetered,Available,
Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl12/flort*/*flort*.log,GI01SUMO-SBD12-02-FLORTD000,telemetered,Available,
Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl12/hyd*/*hyd*.log,GI01SUMO-SBD12-03-HYDGN0000,telemetered,Available,
Ingest.pco2a-a-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl12/pco2a*/*pco2a*.log,GI01SUMO-SBD12-04-PCO2AA000,telemetered,Available,
Ingest.wavss-a-dcl-full_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl12/wavss*/*wavss*.log,GI01SUMO-SBD12-05-WAVSSA000,telemetered,Available,
Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl12/metbk*/*metbk*.log,GI01SUMO-SBD12-06-METBKA000,telemetered,Available,
Ingest.fdchp-a-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl12/fdchp*/*fdchp*.log,GI01SUMO-SBD12-08-FDCHPA000,telemetered,Available,
