uframe_route,filename_mask,reference_designator,data_source,status,notes
#Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG565/R00001/merged-from-glider/gs_*.mrg,GS05MOAS-PG565-00-ENG000000,recovered_host,Missing,No data on server
#Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG565/R00001/merged-from-glider/gs_*.mrg,GS05MOAS-PG565-01-CTDGVM000,recovered_host,Missing,No data on server
#Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG565/R00001/merged-from-glider/gs_*.mrg,GS05MOAS-PG565-02-DOSTAM000,recovered_host,Missing,No data on server
#Ingest.flort-m-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG565/R00001/merged-from-glider/gs_*.mrg,GS05MOAS-PG565-03-FLORTM000,recovered_host,Missing,No data on server
#Ingest.flort-o-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG565/R00001/merged-from-glider/gs_*.mrg,GS05MOAS-PG565-04-FLORTO000,recovered_host,Missing,No parser
#Ingest.nutnr-m-glider_telemetered,/omc_data/whoi/OMC/GS05MOAS-PG565/R00001/merged-from-glider/gs_*.mrg,GS05MOAS-PG565-05-NUTNRM000,recovered_host,Missing,No data on server
#Ingest.parad-m-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG565/R00001/merged-from-glider/gs_*.mrg,GS05MOAS-PG565-06-PARADM000,recovered_host,Missing,No data on server
