uframe_route,filename_mask,reference_designator,data_source,
#Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-GL495/R00001/merged-from-glider/ga_*.mrg,GA05MOAS-GL495-00-ENG000000,recovered_host,Data not expected
#Ingest.flord-m-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-GL495/R00001/merged-from-glider/ga_*.mrg,GA05MOAS-GL495-01-FLORDM000,recovered_host,Data not expected
#Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-GL495/R00001/merged-from-glider/ga_*.mrg,GA05MOAS-GL495-02-DOSTAM000,recovered_host,Data not expected
#Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-GL495/R00001/merged-from-glider/ga_*.mrg,GA05MOAS-GL495-04-CTDGVM000,recovered_host,Data not expected
