uframe_route,parser,filename_mask,reference_designator,data_source,status,notes
#,,,GS01SUMO-RII11-02-FLORDG032,recovered_host,Not Deployed,Not deployed
#,,,GS01SUMO-RII11-02-FLORDG033,recovered_host,Not Deployed,Not deployed
#Ingest.pco2w-abc-imodem_recovered,mi.dataset.driver.pco2w_abc.imodem.pco2w_abc_imodem_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PCO2W_snC0103/*.DAT,GS01SUMO-RII11-02-PCO2WC051,recovered_host,Not Expected,Data not expected
Ingest.pco2w-abc_recovered,mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PCO2W_snC0103/SAMI*.txt,GS01SUMO-RII11-02-PCO2WC051,recovered_inst,Available,
#Ingest.pco2w-abc-imodem_recovered,mi.dataset.driver.pco2w_abc.imodem.pco2w_abc_imodem_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PCO2W_snC0104/*.DAT,GS01SUMO-RII11-02-PCO2WC052,recovered_host,Not Deployed,Not deployed
#Ingest.pco2w-abc_recovered,mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PCO2W_snC0104/SAMI*.txt,GS01SUMO-RII11-02-PCO2WC052,recovered_inst,Not Deployed,Not deployed
#Ingest.pco2w-abc-imodem_recovered,mi.dataset.driver.pco2w_abc.imodem.pco2w_abc_imodem_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PCO2W_snC0105/*.DAT,GS01SUMO-RII11-02-PCO2WC053,recovered_host,Not Expected,Data not expected
Ingest.pco2w-abc_recovered,mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PCO2W_snC0105/SAMI*.txt,GS01SUMO-RII11-02-PCO2WC053,recovered_inst,Available,
#Ingest.phsen-abcdef-imodem_recovered,mi.dataset.driver.phsen_abcdef.imodem.phsen_abcdef_imodem_recovered_driver,,GS01SUMO-RII11-02-PHSENE041,recovered_host,Not Expected,Data not available
Ingest.phsen-abcdef_recovered,mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PHSEN_snP0137/SAMI*.txt,GS01SUMO-RII11-02-PHSENE041,recovered_inst,Available,
# Ingest.phsen-abcdef-imodem_recovered,mi.dataset.driver.phsen_abcdef.imodem.phsen_abcdef_imodem_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PHSEN_snP0101/*.DAT,GS01SUMO-RII11-02-PHSENE042,recovered_host,Not Deployed,Not deployed
#Ingest.phsen-abcdef_recovered,mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PHSEN_snP0101/*.txt,GS01SUMO-RII11-02-PHSENE042,recovered_inst,Not Deployed,Not deployed
