uframe_route,filename_mask,reference_designator,data_source,,
Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*flort*.dat,GS03FLMB-RIS01-01-FLORTD000,telemetered,,
Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*phsen*.dat,GS03FLMB-RIS01-02-PHSENE000,telemetered,,
Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*dosta*.dat,GS03FLMB-RIS01-03-DOSTAD000,telemetered,,
Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*adcps*.dat,GS03FLMB-RIS02-01-ADCPSL000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-03-CTDMOG000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-04-CTDMOG000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-05-CTDMOG000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-06-CTDMOG000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-07-CTDMOG000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-08-CTDMOG000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-09-CTDMOG000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-10-CTDMOG000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-11-CTDMOG000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-12-CTDMOH000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-13-CTDMOH000,telemetered,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,GS03FLMB-RIS02-14-CTDMOH000,telemetered,,
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*.status_1399101.dat,GS03FLMB-FMS01-00-ENG000000,telemetered,,
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*.status_1399701.dat,GS03FLMB-FMM01-00-ENG000000,telemetered,,
,,,,,
,,,,,
