uframe_route,filename_mask,reference_designator,data_source
Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/CP05MOAS-GL003/R00003/merged/cp_*.full.mrg,CP05MOAS-GL003-00-ENG000000,recovered_host
Ingest.parad-m-glider_recovered,/omc_data/whoi/OMC/CP05MOAS-GL003/R00003/merged/cp_*.full.mrg,CP05MOAS-GL003-05-PARADM000,recovered_host
Ingest.flort-m-glider_recovered,/omc_data/whoi/OMC/CP05MOAS-GL003/R00003/merged/cp_*.full.mrg,CP05MOAS-GL003-02-FLORTM000,recovered_host
Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/CP05MOAS-GL003/R00003/merged/cp_*.full.mrg,CP05MOAS-GL003-04-DOSTAM000,recovered_host
Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/CP05MOAS-GL003/R00003/merged/cp_*.full.mrg,CP05MOAS-GL003-03-CTDGVM000,recovered_host
Ingest.adcpa-m-glider_recovered,/omc_data/whoi/OMC/CP05MOAS-GL003/R00003/dvl/*.pd0,CP05MOAS-GL003-01-ADCPAM000,recovered_host
