uframe_route,filename_mask,reference_designator,data_source,status,notes
#Ingest.auv-eng-auv_recovered,/omc_data/whoi/OMC/CP05MOAS-A6263/R00003/*.csv,CP05MOAS-A6263-00-ENG000000,recovered_host,Missing,
#Ingest.flort-kn-auv_recovered,/omc_data/whoi/OMC/CP05MOAS-A6263/R00003/*.csv,CP05MOAS-A6263-01-FLORTN000,recovered_host,Missing,
#Ingest.dosta-ln-auv_recovered,/omc_data/whoi/OMC/CP05MOAS-A6263/R00003/*.csv,CP05MOAS-A6263-02-DOSTAN000,recovered_host,Missing,
#Ingest.ctdav-n-auv_recovered,/omc_data/whoi/OMC/CP05MOAS-A6263/R00003/*.csv,CP05MOAS-A6263-03-CTDAVN000,recovered_host,Missing,
#Ingest.nutnr-n_recovered,/omc_data/whoi/OMC/CP05MOAS-A6263/R00003/*.SUN,CP05MOAS-A6263-04-NUTNRN000,recovered_host,Missing,
#Ingest.adcpa-n_recovered,/omc_data/whoi/OMC/CP05MOAS-A6263/R00003/*.ADC,CP05MOAS-A6263-05-ADCPAN000,recovered_host,Missing,
#Ingest.parad-n-auv_recovered,/omc_data/whoi/OMC/CP05MOAS-A6263/R00003/*.csv,CP05MOAS-A6263-06-PARADN000,recovered_host,Missing,
