uframe_route,filename_mask,reference_designator,data_source,Note
Ingest.vel3d-k-wfp-stc_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00006/imm/mmp/A*.DEC,CP04OSPM-WFP01-01-VEL3DK000,telemetered,"Failed, no data after Oct"
Ingest.ctdpf-ckl-wfp_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00006/imm/mmp/C*.DAT,CP04OSPM-WFP01-03-CTDPFK000,telemetered,"Failed, no data after Oct"
Ingest.dofst-k-wfp_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00006/imm/mmp/C*.DAT,CP04OSPM-WFP01-02-DOFSTK000,telemetered,"Failed, no data after Oct"
Ingest.wfp-eng-stc-imodem_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00006/imm/mmp/E*.DAT,CP04OSPM-WFP01-00-WFPENG000,telemetered,"Failed, no data after Oct"
Ingest.flort-kn-stc-imodem_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00006/imm/mmp/E*.DAT,CP04OSPM-WFP01-04-FLORTK000,telemetered,"Failed, no data after Oct"
Ingest.parad-k-stc-imodem_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00006/imm/mmp/E*.DAT,CP04OSPM-WFP01-05-PARADK000,telemetered,"Failed, no data after Oct"
Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00006/3dmgx3/*_*.3dmgx3.log,CP04OSPM-SBS11-02-MOPAK0000,telemetered,"Failed, no data after Oct"
Ingest.cg-stc-eng-stc_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00006/irid2shore/stc_status.*_*.txt,CP04OSPM-SBS01-00-STCENG000,telemetered,"Failed, no data after Oct"
