uframe_route,filename_mask,reference_designator,data_source,Note
Ingest.vel3d-k-wfp-stc_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00007/imm/mmp/A*.DEC,CP04OSPM-WFP01-01-VEL3DK000,telemetered,"awaiting data upload, underway deployment"
Ingest.ctdpf-ckl-wfp_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00007/imm/mmp/C*.DAT,CP04OSPM-WFP01-03-CTDPFK000,telemetered,"awaiting data upload, underway deployment"
Ingest.dofst-k-wfp_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00007/imm/mmp/C*.DAT,CP04OSPM-WFP01-02-DOFSTK000,telemetered,"awaiting data upload, underway deployment"
Ingest.wfp-eng-stc-imodem_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00007/imm/mmp/E*.DAT,CP04OSPM-WFP01-00-WFPENG000,telemetered,"awaiting data upload, underway deployment"
Ingest.flort-kn-stc-imodem_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00007/imm/mmp/E*.DAT,CP04OSPM-WFP01-04-FLORTK000,telemetered,"awaiting data upload, underway deployment"
Ingest.parad-k-stc-imodem_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00007/imm/mmp/E*.DAT,CP04OSPM-WFP01-05-PARADK000,telemetered,"awaiting data upload, underway deployment"
Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00007/3dmgx3/*_*.3dmgx3.log,CP04OSPM-SBS11-02-MOPAK0000,telemetered,"awaiting data upload, underway deployment"
Ingest.cg-stc-eng-stc_telemetered,/omc_data/whoi/OMC/CP04OSPM/D00007/irid2shore/stc_status.*_*.txt,CP04OSPM-SBS01-00-STCENG000,telemetered,"awaiting data upload, underway deployment"
