uframe_route,filename_mask,reference_designator,data_source,Unnamed: 4
#Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-GL003/R00002/merged-from-glider/gi_*.mrg,GI05MOAS-GL495-00-ENG000000,recovered_host,No data on server
#Ingest.flord-m-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-GL003/R00002/merged-from-glider/gi_*.mrg,GI05MOAS-GL495-01-FLORDM000,recovered_host,No data on server
#Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-GL003/R00002/merged-from-glider/gi_*.mrg,GI05MOAS-GL495-02-DOSTAM000,recovered_host,No data on server
#Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-GL003/R00002/merged-from-glider/gi_*.mrg,GI05MOAS-GL495-04-CTDGVM000,recovered_host,No data on server
