uframe_route,filename_mask,reference_designator,data_source
Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*adcps*.dat,GP03FLMB-RIS02-01-ADCPSL000,telemetered
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*ctdmo*.dat,GP03FLMB-xxxxx-03-CTDMOx000,telemetered
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*dosta*.dat,GP03FLMB-RIS01-03-DOSTAD000,telemetered
Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*flort*.dat,GP03FLMB-RIS01-01-FLORTD000,telemetered
Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*phsen*.dat,GP03FLMB-RIS01-02-PHSENE000,telemetered
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*status_1*.dat,GP03FLMB-FM001-00-ENG000000,telemetered
