parser,filename_mask,reference_designator,data_source,status,notes
#mi.dataset.driver.spkir_abj.dcl.spkir_abj_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/dcl26/spkir/*.spkir.log,CP01CNSM-RID26-08-SPKIRB000,recovered_host,Not Expected,Failed
#mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/dcl27/syslog/*.syslog.log,CP01CNSM-RID27-00-DCLENG000,recovered_host,Not Expected,Failed
#mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/dcl27/OPTAA*/*.optaa1.log,CP01CNSM-RID27-01-OPTAAD000,recovered_host,Not Expected,Failed
#mi.dataset.driver.flort_dj.dcl.flort_dj_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/dcl27/FLORT*/*.flort.log,CP01CNSM-RID27-02-FLORTD000,recovered_host,Not Expected,Failed
#mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/dcl27/CTDBP*/*.ctdbp1.log,CP01CNSM-RID27-03-CTDBPC000,recovered_host,Not Expected,Failed
#mi.dataset.driver.ctdbp_cdef.ctdbp_cdef_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/instruments/dcl27/CTDBP_*/*ctdbp*.hex,CP01CNSM-RID27-03-CTDBPC000,recovered_inst,Not Expected,Failed
#mi.dataset.driver.dosta_abcdjm.dcl.dosta_abcdjm_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/dcl27/DOSTA*/*.dosta*.log,CP01CNSM-RID27-04-DOSTAD000,recovered_host,Not Expected,Failed
#mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/irid2shore/cpm_status*.txt,CP01CNSM-SBC11-00-CPMENG000,recovered_host,Not Expected,Failed
#mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl11/syslog/*.syslog.log,CP01CNSM-SBD11-00-DCLENG000,recovered_host,Not Expected,Failed
#mi.dataset.driver.cg_stc_eng.stc.mopak_o_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl11/mopak/*.mopak.log,CP01CNSM-SBD11-01-MOPAK0000,recovered_host,Not Expected,No good data - mooring recovered after two days
#mi.dataset.driver.hyd_o.dcl.hyd_o_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl11/hyd1/*.hyd1.log,CP01CNSM-SBD11-02-HYDGN0000,recovered_host,Not Expected,Failed
#mi.dataset.driver.metbk_a.dcl.metbk_a_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl11/metbk1/*.metbk.log,CP01CNSM-SBD11-06-METBKA000,recovered_host,Not Expected,Failed
#mi.dataset.driver.metbk_ct.dcl.metbk_ct_dcl_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl11/metbk1/*.metbk.log,CP01CNSM-SBD11-06-METBKA001,recovered_host,Not Expected,Failed
#mi.dataset.driver.metbk_ct.metbk_ct_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/instruments/dcl11/METBK-CT*/*.hex,CP01CNSM-SBD11-06-METBKA001,recovered_inst,Not Expected,Failed
#mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl12/syslog/*.syslog.log,CP01CNSM-SBD12-00-DCLENG000,recovered_host,Not Expected,Failed
#mi.dataset.driver.hyd_o.dcl.hyd_o_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl12/hyd2/*.hyd2.log,CP01CNSM-SBD12-03-HYDGN0000,recovered_host,Not Expected,Failed
#mi.dataset.driver.pco2a_a.dcl.pco2a_a_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl12/pco2a/*PCO2A*.log,CP01CNSM-SBD12-04-PCO2AA000,recovered_host,Not Expected,Failed
#,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl12/wavss/*.wavss.log ,CP01CNSM-SBD12-05-WAVSSA000,recovered_host,Not Expected,Failed
#mi.dataset.driver.metbk_a.dcl.metbk_a_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl12/metbk2/*metbk*.log,CP01CNSM-SBD12-06-METBKA000,recovered_host,Not Expected,Failed
#mi.dataset.driver.metbk_ct.dcl.metbk_ct_dcl_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl12/metbk2/*metbk*.log,CP01CNSM-SBD12-06-METBKA001,recovered_host,Not Expected,Failed
#mi.dataset.driver.metbk_ct.metbk_ct_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/instruments/dcl12/METBK-CT*/*.hex,CP01CNSM-SBD12-06-METBKA001,recovered_inst,Not Expected,Failed
#mi.dataset.driver.fdchp_a.dcl.fdchp_a_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/cg_data/dcl12/fdchp/log*,CP01CNSM-SBD12-08-FDCHPA000,recovered_host,Not Expected,Failed
#mi.dataset.driver.fdchp_a.dcl.fdchp_a_dcl_recovered_driver,/omc_data/whoi/OMC/CP01CNSM/R00002/instruments/dcl12/FDCHP*/*fdchp*.dat,CP01CNSM-SBD12-08-FDCHPA000,recovered_inst,Not Expected,Failed
