uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.metbk-a-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/metbk1/*.metbk1.log,GA01SUMO-SBD11-06-METBKA000,recovered_host,Available,
Ingest.nutnr-b-dcl-full_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/nutnr1/*nutnr1.log,GA01SUMO-SBD11-08-NUTNRB000,recovered_host,Available,
Ingest.nutnr-b_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/NUTNR_sn276/*.DAT,GA01SUMO-SBD11-08-NUTNRB000,recovered_inst,Available,
Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl12/syslog/*syslog.log,GA01SUMO-SBD12-00-DCLENG000,recovered_host,Available,
Ingest.optaa-dj-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl12/optaa1/*.optaa1.log,GA01SUMO-SBD12-01-OPTAAD000,recovered_host,Available,
Ingest.flort-dj-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl12/flort1/*.flort1.log,GA01SUMO-SBD12-02-FLORTD000,recovered_host,Available,
Ingest.hyd-o-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl12/hyd2/*hyd2.log,GA01SUMO-SBD12-03-HYDGN0000,recovered_host,Available,
Ingest.pco2a-a-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl12/pco2a/*.pco2a.log,GA01SUMO-SBD12-04-PCO2AA000,recovered_host,Available,
Ingest.wavss-a-dcl-full_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl12/wavss/*.wavss.log,GA01SUMO-SBD12-05-WAVSSA000,recovered_host,Available,
Ingest.metbk-a-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl12/metbk2/*.metbk2.log,GA01SUMO-SBD12-06-METBKA000,recovered_host,Available,
