uframe_route,filename_mask,reference_designator,data_source,
Ingest.adcpt-m-instrument-log9_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl35/ADCPT_*/*ADCPT*LOG9.TXT,CE06ISSM-MFD35-04-ADCPTM000,recovered,Recovered Instrument data
Ingest.adcpt-m-instrument-wvs_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl35/ADCPT_*/*ADCPT*.WVS,CE06ISSM-MFD35-04-ADCPTM000,recovered,Recovered Instrument data
Ingest.pco2w-abc-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl35/pco2w/*.pco2w.log,CE06ISSM-MFD35-05-PCO2WB000,recovered,Recovered DCL data
Ingest.pco2w-abc_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl35/PCO2W_*/*pco2w*.txt,CE06ISSM-MFD35-05-PCO2WB000,recovered,Recovered Instrument data
Ingest.phsen-abcdef-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl35/phsen2/*.phsen2.log,CE06ISSM-MFD35-06-PHSEND000,recovered,Recovered DCL data
Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl35/PHSEN_*/*phsen*.txt,CE06ISSM-MFD35-06-PHSEND000,recovered,Recovered Instrument data
Ingest.optaa-dj-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl37/optaa2/*.optaa2.log,CE06ISSM-MFD37-01-OPTAAC000,recovered,
Ingest.ctdbp-cdef-dcl-ce-dosta_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl37/ctdbp2/*.ctdbp2.log,CE06ISSM-MFD37-03-CTDBPE000,recovered,Recovered DCL data
Ingest.ctdbp-cdef-ce-dosta_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl37/CTDBP_*/*ctdbp*.hex,CE06ISSM-MFD37-03-CTDBPE000,recovered,Recovered Instrument data
Ingest.ctdbp-cdef-dcl-ce-dosta_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl37/ctdbp2/*.ctdbp2.log,CE06ISSM-MFD37-03-DOSTAD000,recovered,Recovered DCL data
Ingest.ctdbp-cdef-ce-dosta_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl37/CTDBP_*/*ctdbp*.hex,CE06ISSM-MFD37-03-DOSTAD000,recovered,Recovered Instrument data
#,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl37/camds/*.camds.png,CE06ISSM-MFD37-06-CAMDSA000,recovered,Instrument was not deployed
#,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl37/CAMDS_*/*camds*/dcim/*.png,CE06ISSM-MFD37-06-CAMDSA000,recovered,Instrument was not deployed
Ingest.zplsc-c-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl37/zplsc/*.zplsc.log,CE06ISSM-MFD37-07-ZPLSCC000,recovered,Recovered DCL data
#,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl37/ZPLSC_*/*zplsc*/DATA/*/*.01A,CE06ISSM-MFD37-07-ZPLSCC000,recovered,No parser exists for this data set
Ingest.cg-cpm-eng-cpm_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/irid2shore/cpm_status*.txt,CE06ISSM-SBC11-00-CPMENG000,recovered,
Ingest.cg-cpm-eng-cpm_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/cpm3/syslog/cpm_status.txt,CE06ISSM-MFC31-00-CPMENG000,recovered,This is a single file updated every minute. There will only be 1 of these files and the data in it will be from the last update.
Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl17/syslog/*.syslog.log,CE06ISSM-SBD17-00-DCLENG000,recovered,
Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl16/syslog/*.syslog.log,CE06ISSM-RID16-00-DCLENG000,recovered,
Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl35/syslog/*.syslog.log,CE06ISSM-MFD35-00-DCLENG000,recovered,
Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl37/syslog/*.syslog.log,CE06ISSM-MFD37-00-DCLENG000,recovered,
